date,high,low,close,change,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2013-07-08,197.89,193.0,195.16,-0.009943,204.8,176.03,0.0,208.883611078
2013-07-09,196.3,190.71,192.05,-0.015936,200.0,176.03,0.0,208.883611078
2013-07-10,194.1,188.89,193.84,0.00932,199.86,176.03,0.0,208.883611078
2013-07-11,196.5,192.03,195.97,0.010988,199.86,176.03,0.0,208.883611078
2013-07-12,196.77,188.7,188.81,-0.036536,199.86,176.03,0.0,208.883611078
2013-07-15,190.1,184.93,187.95,-0.004555,199.86,176.03,0.0,208.883611078
2013-07-16,191.28,185.5,190.95,0.015962,199.86,176.03,0.0,208.883611078
2013-07-17,190.79,186.81,186.92,-0.021105,199.86,176.03,0.0,208.883611078
2013-07-18,187.45,183.7,185.07,-0.009897,199.86,176.03,0.0,208.883611078
2013-07-19,185.01,174.53,176.01,-0.048954,199.86,174.53,0.0,208.883611078
2013-07-22,177.09,173.05,174.88,-0.00642,199.86,173.05,0.0,208.883611078
2013-07-23,180.29,174.98,179.59,0.026933,199.86,173.05,0.0,208.883611078
2013-07-24,179.4,173.1,174.62,-0.027674,199.86,173.05,0.0,208.883611078
2013-07-25,179.8,174.3,178.74,0.023594,199.86,173.05,0.0,208.883611078
2013-07-26,177.8,174.9,174.97,-0.021092,199.86,173.05,0.0,208.883611078
2013-07-29,174.28,171.0,171.32,-0.020861,199.86,171.0,0.0,208.883611078
2013-07-30,171.28,165.59,168.43,-0.016869,199.86,165.59,0.0,208.883611078
2013-07-31,171.2,167.7,168.5,0.000416,199.86,165.59,0.0,208.883611078
2013-08-01,172.5,169.06,171.89,0.020119,199.37,165.59,0.0,208.883611078
2013-08-02,178.16,172.69,176.03,0.024085,197.89,165.59,0.0,208.883611078
2013-08-05,176.77,173.9,175.5,-0.003011,196.77,165.59,0.0,208.883611078
2013-08-06,175.5,172.7,175.23,-0.001538,196.77,165.59,0.0,208.883611078
2013-08-07,178.66,173.73,176.38,0.006563,196.77,165.59,0.0,208.883611078
2013-08-08,177.36,174.4,175.16,-0.006917,196.77,165.59,0.0,208.883611078
2013-08-09,176.09,170.94,172.83,-0.013302,191.28,165.59,0.0,208.883611078
2013-08-12,178.43,172.51,178.31,0.031707,191.28,165.59,0.0,208.883611078
2013-08-13,180.5,176.5,179.95,0.009197,190.79,165.59,0.0,208.883611078
2013-08-14,182.34,178.4,178.69,-0.007002,187.45,165.59,0.0,208.883611078
2013-08-15,181.2,177.39,177.46,-0.006883,185.01,165.59,0.0,208.883611078
2013-08-16,181.0,174.05,174.4,-0.017243,182.34,165.59,0.0,208.883611078
2013-08-19,175.91,173.0,175.17,0.004415,182.34,165.59,0.0,208.883611078
2013-08-20,175.0,172.7,173.61,-0.008906,182.34,165.59,0.0,208.883611078
2013-08-21,175.15,172.4,174.69,0.006221,182.34,165.59,0.0,208.883611078
2013-08-22,176.68,174.02,175.08,0.002233,182.34,165.59,0.0,208.883611078
2013-08-23,175.98,171.5,172.99,-0.011937,182.34,165.59,0.0,208.883611078
2013-08-26,175.0,172.0,173.94,0.005492,182.34,165.59,0.0,208.883611078
2013-08-27,173.77,172.0,173.15,-0.004542,182.34,167.7,0.0,208.883611078
2013-08-28,172.17,169.57,169.9,-0.01877,182.34,169.06,0.0,208.883611078
2013-08-29,170.34,168.11,168.48,-0.008358,182.34,168.11,0.0,208.883611078
2013-08-30,169.0,167.55,168.78,0.001781,182.34,167.55,0.0,208.883611078
2013-09-02,160.8,151.9,151.92,-0.099893,182.34,151.9,0.0,208.883611078
2013-09-03,152.8,149.0,151.66,-0.001711,182.34,149.0,0.0,208.883611078
2013-09-04,153.55,151.6,152.1,0.002901,182.34,149.0,0.0,208.883611078
2013-09-05,152.8,149.3,150.27,-0.012032,182.34,149.0,0.0,208.883611078
2013-09-06,150.9,149.77,150.28,6.7e-05,182.34,149.0,0.0,208.883611078
2013-09-09,151.52,149.88,150.95,0.004458,182.34,149.0,0.0,208.883611078
2013-09-10,151.88,150.08,151.62,0.004439,182.34,149.0,0.0,208.883611078
2013-09-11,152.78,150.0,152.57,0.006266,181.2,149.0,0.0,208.883611078
2013-09-12,153.2,151.21,151.73,-0.005506,181.0,149.0,0.0,208.883611078
2013-09-13,154.48,151.65,152.02,0.001911,176.68,149.0,0.0,208.883611078
2013-09-16,152.62,149.59,149.65,-0.01559,176.68,149.0,0.0,208.883611078
2013-09-17,149.2,140.51,141.3,-0.055797,176.68,140.51,0.0,208.883611078
2013-09-18,142.38,139.5,141.9,0.004246,176.68,139.5,0.0,208.883611078
2013-09-23,142.0,140.05,140.81,-0.007681,175.98,139.5,0.0,208.883611078
2013-09-24,142.26,136.7,136.8,-0.028478,175.0,136.7,0.0,208.883611078
2013-09-25,137.5,133.02,135.16,-0.011988,173.77,133.02,0.0,208.883611078
2013-09-26,136.22,134.0,135.42,0.001924,172.17,133.02,0.0,208.883611078
2013-09-27,136.16,133.79,134.06,-0.010043,170.34,133.02,0.0,208.883611078
2013-09-30,136.31,133.52,135.94,0.014024,169.0,133.02,0.0,208.883611078
2013-10-08,137.4,134.19,136.67,0.00537,160.8,133.02,0.0,208.883611078
2013-10-09,137.4,135.8,136.99,0.002341,154.48,133.02,0.0,208.883611078
2013-10-10,137.38,136.25,137.04,0.000365,154.48,133.02,0.0,208.883611078
2013-10-11,137.83,135.3,137.52,0.003503,154.48,133.02,0.0,208.883611078
2013-10-14,139.73,137.32,139.65,0.015489,154.48,133.02,0.0,208.883611078
2013-10-15,144.8,139.08,144.25,0.032939,154.48,133.02,0.0,208.883611078
2013-10-16,147.7,142.1,144.24,-6.9e-05,154.48,133.02,0.0,208.883611078
2013-10-17,145.8,143.5,144.19,-0.000347,154.48,133.02,0.0,208.883611078
2013-10-18,144.91,142.0,142.98,-0.008392,154.48,133.02,0.0,208.883611078
2013-10-21,145.3,142.2,145.09,0.014757,154.48,133.02,0.0,208.883611078
2013-10-22,144.8,142.75,143.42,-0.01151,152.62,133.02,0.0,208.883611078
2013-10-23,144.68,142.21,143.69,0.001883,149.2,133.02,0.0,208.883611078
2013-10-24,143.97,142.7,143.71,0.000139,147.7,133.02,0.0,208.883611078
2013-10-25,143.01,135.6,136.73,-0.04857,147.7,133.02,0.0,208.883611078
2013-10-28,136.77,133.26,133.97,-0.020186,147.7,133.02,0.0,208.883611078
2013-10-29,134.66,131.5,132.8,-0.008733,147.7,131.5,0.0,208.883611078
2013-10-30,133.3,131.96,132.59,-0.001581,147.7,131.5,0.0,208.883611078
2013-10-31,136.51,132.5,135.11,0.019006,147.7,131.5,0.0,208.883611078
2013-11-01,135.84,133.8,135.18,0.000518,147.7,131.5,0.0,208.883611078
2013-11-04,136.97,135.27,136.34,0.008581,147.7,131.5,0.0,208.883611078
2013-11-05,138.39,134.7,138.11,0.012982,147.7,131.5,0.0,208.883611078
2013-11-06,141.01,137.5,139.65,0.011151,147.7,131.5,0.0,208.883611078
2013-11-07,139.88,136.7,138.97,-0.004869,147.7,131.5,0.0,208.883611078
2013-11-08,139.99,136.01,136.14,-0.020364,147.7,131.5,0.0,208.883611078
2013-11-11,141.68,136.18,139.55,0.025048,147.7,131.5,0.0,208.883611078
2013-11-12,145.35,139.05,144.84,0.037908,147.7,131.5,0.0,208.883611078
2013-11-13,146.45,143.1,144.72,-0.000829,146.45,131.5,0.0,208.883611078
2013-11-14,145.0,141.69,144.07,-0.004491,146.45,131.5,0.0,208.883611078
2013-11-15,144.62,142.1,143.44,-0.004373,146.45,131.5,0.0,208.883611078
2013-11-18,144.86,142.8,143.49,0.000349,146.45,131.5,0.0,208.883611078
2013-11-19,144.2,141.3,142.82,-0.004669,146.45,131.5,0.0,208.883611078
2013-11-20,142.92,141.4,142.06,-0.005321,146.45,131.5,0.0,208.883611078
2013-11-21,142.29,138.55,138.66,-0.023934,146.45,131.5,0.0,208.883611078
2013-11-22,139.35,137.98,138.47,-0.00137,146.45,131.5,0.0,208.883611078
2013-11-25,141.86,137.52,140.93,0.017766,146.45,131.5,0.0,208.883611078
2013-11-26,141.84,139.78,139.98,-0.006741,146.45,131.96,0.0,208.883611078
2013-11-27,141.19,138.6,139.95,-0.000214,146.45,132.5,0.0,208.883611078
