code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600519,2013-12-16,136.010000,136.420000,132.870000,132.970000,-0.025147,3286944.000000,439536257.000000,138046794600.000000,138046794600.000000,0.003166,736.960018,2013-09-30,2013-10-16,9.890017,4.841889,10.146885,3.580914,107.275651
sh600519,2013-12-13,136.230000,137.390000,136.220000,136.400000,0.000000,1926726.000000,263371186.000000,141607752000.000000,141607752000.000000,0.001856,755.970406,2013-09-30,2013-10-16,10.145137,4.966788,10.408631,3.673286,110.042900
sh600519,2013-12-12,136.330000,137.340000,136.200000,136.400000,0.000073,1830695.000000,250384797.000000,141607752000.000000,141607752000.000000,0.001763,755.970406,2013-09-30,2013-10-16,10.145137,4.966788,10.408631,3.673286,110.042900
sh600519,2013-12-11,136.860000,137.600000,136.170000,136.390000,-0.004089,1986816.000000,271716036.000000,141597370200.000000,141597370200.000000,0.001914,755.915224,2013-09-30,2013-10-16,10.144396,4.966426,10.407871,3.673018,110.034868
sh600519,2013-12-10,137.510000,137.900000,136.200000,136.950000,-0.007177,2539266.000000,347805549.000000,142178751000.000000,142178751000.000000,0.002446,759.018852,2013-09-30,2013-10-16,10.186047,4.986817,10.450604,3.688098,110.486648
sh600519,2013-12-09,138.600000,138.700000,136.000000,137.940000,-0.005838,2537190.000000,347999972.000000,143206549200.000000,143206549200.000000,0.002444,764.505710,2013-09-30,2013-10-16,10.259680,5.022866,10.526150,3.714759,111.285342
sh600519,2013-12-06,136.770000,139.100000,136.000000,138.750000,0.012848,2915072.000000,402741316.000000,144047475000.000000,144047475000.000000,0.002808,768.995103,2013-09-30,2013-10-16,10.319928,5.052362,10.587962,3.736573,111.938841
sh600519,2013-12-05,138.440000,138.440000,136.950000,136.990000,-0.010760,1932631.000000,265765318.000000,142220278200.000000,142220278200.000000,0.001862,759.240383,2013-09-30,2013-10-16,10.189020,4.988273,10.453654,3.689175,110.518895
sh600519,2013-12-04,137.460000,139.020000,136.570000,138.480000,0.006542,3351042.000000,463071203.000000,143767166400.000000,143767166400.000000,0.003228,767.498669,2013-09-30,2013-10-16,10.299846,5.042530,10.567358,3.729302,111.721013
sh600519,2013-12-03,136.550000,137.920000,135.340000,137.580000,0.005849,3288230.000000,448934466.000000,142832804400.000000,142832804400.000000,0.003167,762.510326,2013-09-30,2013-10-16,10.232902,5.009756,10.498676,3.705063,110.994884
