code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f,MA_2,MA_20,MA_160
sh600519,2013-07-04,197.07,199.86,196.58,196.62,-0.006819,2421452.0,480333716.0,2.041269516e+11,2.041269516e+11,0.002332,1089.722314,2013-03-31,2013-04-18,15.130874,7.636356,18.536937,5.585251,158.625527,196.87,183.876,148.457
sh600519,2013-07-03,198.9,199.8,196.13,197.97,0.000101,3542464.0,702154070.0,2.055284946e+11,2.055284946e+11,0.003412,1097.204149,2013-03-31,2013-04-18,15.23476,7.688785,18.664208,5.623599,159.714621,197.295,185.3495,148.726
sh600519,2013-07-02,194.27,198.99,192.62,197.95,0.018838,3345317.0,656544871.0,2.05507731e+11,2.05507731e+11,0.003222,1097.093342,2013-03-31,2013-04-18,15.233221,7.688009,18.662323,5.623031,159.698491,197.96,186.8255,149.0255625
sh600519,2013-07-01,192.03,194.97,191.02,194.29,0.009981,2582852.0,498364213.0,2.017079922e+11,2.017079922e+11,0.002488,1076.808425,2013-03-31,2013-04-18,14.951563,7.54586,18.317262,5.519063,156.745715,196.12,187.974,149.3339375
sh600519,2013-06-28,188.85,193.46,188.85,192.37,0.014717,2807002.0,540002730.0,1.997146866e+11,1.997146866e+11,0.002704,1066.167012,2013-03-31,2013-04-18,14.803807,7.471289,18.136244,5.464521,155.196697,193.33,188.844,149.6485625
sh600519,2013-06-27,188.72,192.35,188.09,189.58,0.004557,3413576.0,651525208.0,1.968181644e+11,1.968181644e+11,0.003288,1050.703804,2013-03-31,2013-04-18,14.589099,7.362929,17.873205,5.385266,152.945794,190.975,189.386,149.943625
sh600519,2013-06-26,188.49,189.82,184.78,188.72,-0.0059,3290348.0,613847368.0,1.959253296e+11,1.959253296e+11,0.003169,1045.937467,2013-03-31,2013-04-18,14.522918,7.329528,17.792126,5.360837,152.251982,189.15,190.091,150.2005
sh600519,2013-06-25,185.56,190.3,176.03,189.84,0.022735,5135249.0,952843639.0,1.970880912e+11,1.970880912e+11,0.004946,1052.145123,2013-03-31,2013-04-18,14.609112,7.373029,17.897722,5.392654,153.1556,189.28,190.6035,150.45525
sh600519,2013-06-24,191.61,192.0,185.18,185.62,-0.029032,4080720.0,765344886.0,1.927069716e+11,1.927069716e+11,0.003931,1028.756348,2013-03-31,2013-04-18,14.284357,7.209129,17.499863,5.272777,149.75101,187.73,191.1405,150.6841875
sh600519,2013-06-21,190.04,195.88,187.5,191.17,-0.002973,3965419.0,762942568.0,1.984688706e+11,1.984688706e+11,0.00382,1059.516223,2013-03-31,2013-04-18,14.71146,7.424683,18.02311,5.430433,154.228574,188.395,191.8985,150.9444375
sh600519,2013-06-20,194.46,195.48,190.61,191.74,-0.01586,2558681.0,493350639.0,1.990606332e+11,1.990606332e+11,0.002465,1062.675557,2013-03-31,2013-04-18,14.755328,7.446822,18.076852,5.446626,154.688463,191.455,192.232,151.224
sh600519,2013-06-19,190.88,195.5,188.2,194.83,0.016593,2890918.0,556142175.0,2.022686094e+11,2.022686094e+11,0.002785,1079.801204,2013-03-31,2013-04-18,14.993118,7.566832,18.368172,5.534402,157.181359,193.285,192.6275,151.5043125
sh600519,2013-06-18,189.16,191.8,186.52,191.65,0.011452,2737772.0,516512033.0,1.98967197e+11,1.98967197e+11,0.002637,1062.17651,2013-03-31,2013-04-18,14.748398,7.443325,18.068363,5.444068,154.615819,193.24,192.6625,151.809
sh600519,2013-06-17,194.27,194.98,189.21,189.48,-0.0234,2968927.0,568914661.0,1.967143464e+11,1.967143464e+11,0.00286,1050.15019,2013-03-31,2013-04-18,14.581412,7.359049,17.863787,5.382429,152.865207,190.565,192.739,152.1453125
sh600519,2013-06-14,194.35,195.0,189.58,194.02,-0.003544,3251867.0,625711421.0,2.014276836e+11,2.014276836e+11,0.003132,1075.312502,2013-03-31,2013-04-18,14.930792,7.535377,18.291816,5.511396,156.527961,191.75,192.9995,152.5195
sh600519,2013-06-13,195.12,198.48,192.01,194.71,-0.007898,4499864.0,876852216.0,2.021440278e+11,2.021440278e+11,0.004334,1079.136964,2013-03-31,2013-04-18,14.983895,7.562177,18.356872,5.530997,157.084669,194.365,192.9365,152.8986875
sh600519,2013-06-07,195.11,200.0,193.51,196.26,0.005053,2547838.0,502253009.0,2.037532068e+11,2.037532068e+11,0.002454,1087.727838,2013-03-31,2013-04-18,15.10318,7.622379,18.503009,5.575029,158.335201,195.485,193.0575,153.2949375
sh600519,2013-06-06,201.21,204.8,201.21,201.66,0.002436,3387735.0,688473447.0,2.093593788e+11,2.093593788e+11,0.003263,1082.259182,2013-03-31,2013-04-18,15.027248,7.584057,18.409984,5.547,157.539155,198.96,193.538,153.7185
sh600519,2013-06-05,201.99,202.5,199.58,201.17,-0.002628,2372442.0,476555327.0,2.088506706e+11,2.088506706e+11,0.002285,1079.629206,2013-03-31,2013-04-18,14.99073,7.565627,18.365246,5.53352,157.156322,201.415,193.8385,154.1495625
sh600519,2013-06-04,202.3,205.3,201.65,201.7,-0.00188,4235692.0,862313622.0,2.09400906e+11,2.09400906e+11,0.00408,1082.473947,2013-03-31,2013-04-18,15.03023,7.585562,18.413637,5.548101,157.570418,201.435,194.0675,154.553875
sh600519,2013-06-03,198.1,202.55,197.18,202.08,0.025266,4025675.0,807356528.0,2.097954144e+11,2.097954144e+11,0.003878,1084.512831,2013-03-31,2013-04-18,15.05854,7.599849,18.44832,5.558551,157.867208,201.89,194.3405,154.94675
sh600519,2013-05-31,200.97,201.4,197.0,197.1,-0.01573,2459056.0,490984247.0,2.04625278e+11,2.04625278e+11,0.002369,1057.78679,2013-03-31,2013-04-18,14.687447,7.412564,17.993691,5.421569,153.976829,199.59,194.297,155.2989375
sh600519,2013-05-30,200.8,202.82,199.01,200.25,-0.006154,2501942.0,500916433.0,2.07895545e+11,2.07895545e+11,0.00241,1074.691691,2013-03-31,2013-04-18,14.922172,7.531027,18.281255,5.508214,156.437593,198.675,194.412,155.703625
sh600519,2013-05-29,203.0,206.87,201.35,201.49,-0.003216,3234002.0,659505373.0,2.091828882e+11,2.091828882e+11,0.003115,1081.346296,2013-03-31,2013-04-18,15.014572,7.57766,18.394455,5.542321,157.406271,200.87,194.772,156.124875
sh600519,2013-05-28,201.88,203.31,199.55,202.14,0.002529,2367636.0,477386720.0,2.098577052e+11,2.098577052e+11,0.002281,1084.835125,2013-03-31,2013-04-18,15.063015,7.602108,18.453802,5.560203,157.914123,201.815,195.2605,156.5496875
sh600519,2013-05-27,201.97,202.1,198.0,201.63,0.003484,2677812.0,536544405.0,2.093282334e+11,2.093282334e+11,0.002579,1082.098498,2013-03-31,2013-04-18,15.025017,7.582931,18.40725,5.546176,157.515765,201.885,195.863,157.0161875
