date,open,high,close,price_change,p_change
2017-06-09,16.6,16.81,16.73,0.1,0.6
2017-06-08,16.81,16.97,16.63,-0.18,-1.07
2017-06-07,16.22,16.95,16.81,0.63,3.89
2017-06-06,16.49,16.52,16.18,-0.3,-1.82
2017-06-05,16.61,16.63,16.48,-0.09,-0.54
2017-06-02,15.87,16.67,16.57,0.82,5.21
2017-06-01,16.05,16.14,15.75,-0.54,-3.31
2017-05-31,17.0,17.0,16.29,-0.37,-2.22
2017-05-26,16.25,16.89,16.66,0.41,2.52
2017-05-25,16.02,16.35,16.25,0.14,0.87
2017-05-24,15.76,16.11,16.11,0.41,2.61
2017-05-23,16.11,16.23,15.7,-0.4,-2.48
2017-05-22,16.61,16.84,16.1,-0.5,-3.01
2017-05-19,17.17,17.24,16.6,-0.7,-4.05
2017-05-18,17.15,17.54,17.3,0.24,1.41
2017-05-17,16.9,17.45,17.06,0.34,2.03
2017-05-16,16.05,16.78,16.72,0.82,5.16
2017-05-15,15.99,16.09,15.9,0.0,0.0
2017-05-12,16.03,16.15,15.9,-0.23,-1.43
2017-05-11,16.05,16.39,16.13,0.4,2.54
2017-05-10,16.31,16.56,15.73,-0.71,-4.32
2017-05-09,16.26,16.65,16.44,0.07,0.43
2017-05-08,17.01,17.15,16.37,-0.96,-5.54
2017-05-05,18.7,18.7,17.33,-0.05,-0.29
2017-05-04,16.29,17.62,17.38,1.12,6.89
2017-05-03,16.5,16.51,16.26,-0.32,-1.93
2017-05-02,16.49,16.67,16.58,0.09,0.55
2017-04-28,16.27,16.57,16.49,0.14,0.86
2017-04-27,16.13,16.46,16.35,0.05,0.31
2017-04-26,16.09,16.35,16.3,0.15,0.93
2017-04-25,16.21,16.41,16.15,-0.02,-0.12
2017-04-24,16.58,16.72,16.17,-0.4,-2.41
2017-04-21,16.87,16.94,16.57,-0.17,-1.02
2017-04-20,17.16,17.39,16.74,-0.46,-2.67
2017-04-19,17.87,17.88,17.2,-0.85,-4.71
2017-04-18,17.8,18.45,18.05,0.34,1.92
2017-04-17,17.6,17.96,17.71,0.15,0.85
2017-04-14,17.97,17.97,17.56,-0.22,-1.24
2017-04-13,17.73,18.17,17.78,0.09,0.51
2017-04-12,18.27,18.45,17.69,-1.05,-5.6
2017-04-11,17.43,19.37,18.74,1.04,5.88
2017-04-10,16.82,18.01,17.7,0.9,5.36
2017-04-07,16.9,17.46,16.8,-0.19,-1.12
2017-04-06,16.89,17.64,16.99,0.19,1.13
2017-04-05,16.39,16.92,16.8,0.42,2.56
2017-03-31,16.36,16.47,16.38,0.04,0.24
2017-03-30,16.69,16.8,16.34,-0.31,-1.86
2017-03-29,16.81,16.96,16.65,-0.24,-1.42
2017-03-28,17.15,17.22,16.89,-0.3,-1.75
2017-03-27,17.4,17.4,17.19,-0.16,-0.92
2017-03-24,17.3,17.35,17.35,0.18,1.05
2017-03-23,17.21,17.42,17.17,-0.11,-0.64
2017-03-22,17.45,17.6,17.28,-0.33,-1.87
2017-03-21,17.5,17.7,17.61,0.06,0.34
2017-03-20,17.45,17.63,17.55,0.11,0.63
2017-03-17,17.64,17.9,17.44,-0.22,-1.25
2017-03-16,17.51,17.69,17.66,0.19,1.09
2017-03-15,17.52,17.58,17.47,0.0,0.0
2017-03-14,17.81,17.89,17.47,-0.34,-1.91
2017-03-13,17.62,17.97,17.81,0.01,0.06
2017-03-10,17.76,17.85,17.8,0.04,0.23
2017-03-09,18.01,18.24,17.76,-0.27,-1.5
2017-03-08,18.2,18.4,18.03,-0.42,-2.28
2017-03-07,17.76,18.48,18.45,0.7,3.94
2017-03-06,17.29,17.85,17.75,0.47,2.72
2017-03-03,17.15,17.36,17.28,0.12,0.7
2017-03-02,17.37,17.39,17.16,-0.08,-0.46
2017-03-01,17.13,17.34,17.24,0.02,0.12
2017-02-28,16.71,17.47,17.22,0.57,3.42
2017-02-27,16.8,16.86,16.65,-0.14,-0.83
2017-02-24,16.73,16.87,16.79,0.04,0.24
2017-02-23,16.89,16.89,16.75,-0.15,-0.89
2017-02-22,16.76,16.93,16.9,0.08,0.48
2017-02-21,16.64,16.88,16.82,0.22,1.32
2017-02-20,16.53,16.61,16.6,0.07,0.42
2017-02-17,16.33,16.67,16.53,0.2,1.23
2017-02-16,16.31,16.47,16.33,0.01,0.06
2017-02-15,16.57,16.67,16.32,-0.24,-1.45
2017-02-14,16.65,16.71,16.56,-0.07,-0.42
2017-02-13,16.51,16.74,16.63,0.01,0.06
2017-02-10,16.76,16.8,16.62,-0.15,-0.89
2017-02-09,16.71,16.84,16.77,0.08,0.48
2017-02-08,16.65,16.7,16.69,0.11,0.66
2017-02-07,16.65,16.73,16.58,-0.15,-0.9
2017-02-06,16.56,16.79,16.73,0.16,0.97
2017-02-03,16.6,16.74,16.57,0.05,0.3
2017-02-02,18.17,18.17,18.17,1.65,9.99
2017-01-26,16.38,16.54,16.52,0.15,0.92
2017-01-25,16.44,16.52,16.37,0.02,0.12
2017-01-24,16.61,16.69,16.35,-0.17,-1.03
2017-01-23,16.45,16.64,16.52,0.1,0.61
2017-01-20,16.21,16.65,16.42,0.1,0.61
2017-01-19,16.63,16.68,16.32,-0.3,-1.8
2017-01-18,16.87,17.06,16.62,-0.25,-1.48
2017-01-17,16.8,17.05,16.87,0.09,0.54
2017-01-16,17.55,18.08,16.78,-0.63,-3.62
2017-01-13,17.96,18.1,17.41,-0.64,-3.55
2017-01-12,17.69,18.14,18.05,0.37,2.09
2017-01-11,17.35,18.16,17.68,0.33,1.9
2017-01-10,17.39,17.47,17.35,-0.09,-0.52
2017-01-09,17.37,17.54,17.44,0.03,0.17
2017-01-06,17.64,17.66,17.41,-0.24,-1.36
2017-01-05,17.75,17.86,17.65,-0.1,-0.56
2017-01-04,17.41,17.89,17.75,0.35,2.01
2017-01-03,17.36,17.52,17.4,0.06,0.35
2016-12-30,17.5,17.5,17.34,-0.04,-0.23
2016-12-29,17.4,17.56,17.38,-0.03,-0.17
2016-12-28,17.6,17.74,17.41,-0.25,-1.42
2016-12-27,17.82,17.9,17.66,-0.17,-0.95
2016-12-26,17.94,17.94,17.83,-0.11,-0.61
2016-12-23,18.1,18.24,17.94,-0.26,-1.43
2016-12-22,18.0,18.33,18.2,0.23,1.28
2016-12-21,17.93,18.04,17.97,0.05,0.28
2016-12-20,17.96,18.01,17.92,0.0,0.0
2016-12-19,18.18,18.18,17.92,-0.24,-1.32
2016-12-16,18.12,18.29,18.16,0.02,0.11
2016-12-15,17.82,18.22,18.14,0.19,1.06
2016-12-14,17.92,18.15,17.95,0.04,0.22
2016-12-13,17.99,18.18,17.91,0.01,0.06
2016-12-12,19.57,19.66,17.9,-1.59,-8.16
2016-12-09,19.77,19.85,19.49,-0.22,-1.12
2016-12-08,20.06,20.1,19.71,-0.35,-1.75
2016-12-07,20.02,20.12,20.06,0.04,0.2
2016-12-06,20.25,20.39,20.02,-0.19,-0.94
2016-12-05,20.05,20.48,20.21,-0.01,-0.05
2016-12-02,20.55,20.62,20.22,-0.44,-2.13
2016-12-01,20.38,20.76,20.66,0.32,1.57
2016-11-30,20.16,20.47,20.34,0.13,0.64
2016-11-29,20.24,20.45,20.21,-0.03,-0.15
2016-11-28,20.45,20.5,20.24,-0.13,-0.64
2016-11-25,20.08,20.39,20.37,0.26,1.29
2016-11-24,20.31,20.31,20.11,-0.21,-1.03
2016-11-23,20.28,20.54,20.32,0.06,0.3
2016-11-22,20.11,20.27,20.26,0.16,0.8
2016-11-21,20.1,20.18,20.1,0.01,0.05
2016-11-18,20.3,20.3,20.09,-0.04,-0.2
2016-11-17,20.09,20.36,20.13,-0.06,-0.3
2016-11-16,20.4,20.54,20.19,-0.11,-0.54
2016-11-15,20.27,20.34,20.3,-0.05,-0.25
2016-11-14,20.34,20.55,20.35,0.01,0.05
2016-11-11,20.31,20.35,20.34,0.03,0.15
2016-11-10,20.09,20.35,20.31,0.34,1.7
2016-11-09,20.07,20.19,19.97,-0.17,-0.84
2016-11-08,20.16,20.24,20.14,-0.02,-0.1
2016-11-07,20.11,20.24,20.16,0.02,0.1
2016-11-04,20.13,20.3,20.14,-0.02,-0.1
2016-11-03,20.21,20.39,20.16,-0.13,-0.64
2016-11-02,20.36,20.38,20.29,-0.06,-0.29
2016-10-28,19.73,19.95,19.83,0.09,0.46
2016-10-27,19.74,19.79,19.74,0.0,0.0
2016-10-26,19.93,19.99,19.74,-0.19,-0.95
2016-10-25,19.98,20.04,19.93,-0.04,-0.2
2016-10-24,19.85,20.1,19.97,0.13,0.66
2016-10-21,20.01,20.08,19.84,-0.15,-0.75
2016-10-20,20.01,20.1,19.99,-0.01,-0.05
2016-10-19,20.1,20.2,20.0,-0.2,-0.99
2016-10-18,19.92,20.43,20.2,0.27,1.35
2016-10-17,20.19,20.2,19.93,-0.2,-0.99
2016-10-14,20.09,20.16,20.13,0.05,0.25
2016-10-13,20.11,20.21,20.08,-0.03,-0.15
2016-10-12,20.33,20.34,20.11,-0.24,-1.18
2016-10-11,20.55,20.55,20.35,-0.21,-1.02
2016-10-10,20.5,20.57,20.56,0.28,1.38
2016-09-30,20.3,20.43,20.28,-0.02,-0.1
2016-09-29,20.4,20.49,20.3,-0.02,-0.1
2016-09-28,20.2,20.42,20.32,0.28,1.4
2016-09-27,20.0,20.25,20.04,-0.07,-0.35
2016-09-26,20.27,20.42,20.11,-0.15,-0.74
2016-09-23,20.51,20.52,20.26,-0.23,-1.12
2016-09-22,20.66,20.72,20.49,0.03,0.15
2016-09-21,20.51,20.6,20.46,0.0,0.0
2016-09-20,20.65,20.78,20.46,-0.18,-0.87
2016-09-19,20.68,20.95,20.64,-0.06,-0.29
2016-09-14,20.44,21.1,20.7,0.22,1.07
2016-09-13,20.48,20.6,20.48,0.14,0.69
2016-09-12,20.45,20.59,20.34,-0.54,-2.59
2016-09-09,20.91,21.2,20.88,0.02,0.1
2016-09-08,20.84,20.92,20.86,0.03,0.14
2016-09-07,20.68,21.03,20.83,0.09,0.43
2016-09-06,20.47,20.79,20.74,0.22,1.07
2016-09-05,20.45,20.54,20.52,0.15,0.74
2016-09-02,20.3,20.39,20.37,0.07,0.34
2016-09-01,20.5,20.59,20.3,-0.25,-1.22
2016-08-31,20.48,20.68,20.55,0.07,0.34
2016-08-30,20.43,20.61,20.48,-0.09,-0.44
2016-08-29,20.32,20.77,20.57,0.29,1.43
2016-08-26,20.31,20.44,20.28,0.02,0.1
2016-08-25,20.45,20.46,20.26,-0.34,-1.65
2016-08-24,20.42,20.8,20.6,0.11,0.54
2016-08-23,20.57,20.65,20.49,-0.03,-0.15
2016-08-22,20.96,21.03,20.52,-0.41,-1.96
2016-08-19,21.14,21.14,20.93,-0.17,-0.81
2016-08-18,20.79,21.12,21.1,0.32,1.54
2016-08-17,20.94,20.94,20.78,-0.05,-0.24
2016-08-16,20.9,20.95,20.83,-0.02,-0.1
2016-08-15,20.48,20.95,20.85,0.41,2.01
2016-08-12,20.31,20.5,20.44,0.09,0.44
2016-08-11,20.56,20.68,20.35,-0.31,-1.5
2016-08-10,20.79,21.03,20.66,-0.14,-0.67
2016-08-09,20.58,20.95,20.8,0.26,1.27
2016-08-08,20.38,20.59,20.54,0.12,0.59
2016-08-05,20.74,20.79,20.42,-0.18,-0.87
2016-08-04,20.52,20.68,20.6,0.14,0.68
2016-08-03,20.58,20.69,20.46,-0.1,-0.49
2016-08-02,20.44,20.68,20.56,0.12,0.59
2016-08-01,20.8,20.82,20.44,-0.34,-1.64
2016-07-29,21.11,21.29,20.78,-0.3,-1.42
2016-07-28,21.46,21.68,21.08,-0.42,-1.95
2016-07-27,22.96,23.09,21.5,-1.46,-6.36
2016-07-26,22.81,23.38,22.96,0.19,0.83
2016-07-25,22.49,22.98,22.77,0.3,1.33
2016-07-22,22.46,22.75,22.47,-0.09,-0.4
2016-07-21,22.51,22.86,22.56,-0.05,-0.22
2016-07-20,22.2,23.75,22.61,0.69,3.15
2016-07-19,21.8,21.94,21.92,0.07,0.32
2016-07-18,21.92,22.05,21.85,-0.06,-0.27
2016-07-15,22.29,22.36,21.91,-0.38,-1.71
2016-07-14,21.91,22.5,22.29,0.33,1.5
2016-07-13,21.81,22.16,21.96,0.15,0.69
2016-07-12,21.77,21.94,21.81,0.08,0.37
2016-07-11,22.2,22.22,21.73,-0.37,-1.67
2016-07-08,22.28,22.44,22.1,-0.12,-0.54
2016-07-07,21.89,22.49,22.22,0.42,1.93
2016-07-06,22.07,22.07,21.8,-0.27,-1.22
2016-07-05,21.98,22.34,22.07,0.09,0.41
2016-07-04,21.59,22.01,21.98,0.29,1.34
2016-07-01,21.9,21.99,21.69,0.0,0.0
2016-06-30,21.73,22.07,21.69,-0.16,-0.73
2016-06-29,22.01,22.13,21.85,0.04,0.18
2016-06-28,21.6,21.85,21.81,0.13,0.6
2016-06-27,21.0,21.86,21.68,0.56,2.65
2016-06-24,21.56,21.76,21.12,-0.51,-2.36
2016-06-23,21.64,21.93,21.63,-0.01,-0.05
2016-06-22,21.16,21.65,21.64,0.36,1.69
2016-06-21,21.76,21.95,21.28,-0.28,-1.3
2016-06-20,21.78,21.95,21.56,-0.17,-0.78
2016-06-17,22.0,22.48,21.73,-0.25,-1.14
2016-06-16,21.68,22.88,21.98,0.17,0.78
2016-06-15,20.35,22.29,21.81,1.05,5.06
2016-06-14,20.58,21.18,20.76,0.07,0.34
2016-06-13,22.21,22.21,20.69,-1.62,-7.26
